date,umi
Jan '17,0.93
Feb '17,1.02
Mar '17,1.13
Apr '17,1.07
May '17,1.03
Jun '17,1.1
Jul '17,1.12
Aug '17,1.12
Sep '17,0.94
Oct '17,1.11
Nov '17,0.97
Dec '17,0.99
Jan '18,0.82
Feb '18,0.91
Mar '18,0.81
Apr '18,0.82
May '18,0.93
Jun '18,0.91
Jul '18,0.99
Aug '18,1.01
Sep '18,1.07
Oct '18,1.16
Nov '18,1.08
Dec '18,0.96
Jan '19,1.01
Feb '19,1.02
Mar '19,1.02
Apr '19,1.07
May '19,1.09
Jun '19,1.18
Jul '19,1.17
Aug '19,1.21
Sep '19,1.26
Oct '19,1.25
Nov '19,1.16
Dec '19,1.1
Jan '20,0.9
Feb '20,0.94
Mar '20,0.9
Apr '20,0.81
May '20,0.68
Jun '20,0.87
Jul '20,0.77
Aug '20,0.75
Sep '20,0.74
Oct '20,0.78
Nov '20,0.73
Dec '20,0.72
Jan '21,0.61
Feb '21,0.63
Mar '21,0.57
Apr '21,0.6
May '21,0.74
Jun '21,0.78
Jul '21,0.84
Aug '21,0.92
Sep '21,0.98
Oct '21,1
Nov '21,1.01
Dec '21,0.99
Jan '22,0.99
Feb '22,1.06
Mar '22,0.98
Apr '22,1.11
May '22,1.14
Jun '22,1.25
Jul '22,1.35
Aug '22,1.46
Sep '22,1.51
Oct '22,1.56
Nov '22,1.53
Dec '22,1.52
Jan '23,1.46
Feb '23,1.5
